Frequency (Hz),Amplitude (dBm)
471944632.5,-80.17
471953092.7,-69.33
471961552.9,-68.76
471970013.2,-70.22
471978473.4,-69.36
471986933.7,-75.83
471995393.9,-75.35
472003854.1,-74.73
472012314.4,-81.37
472020774.6,-71.88
472029234.8,-71.86
472037695.1,-69.06
472046155.3,-65.36
472054615.5,-68.33
472063075.8,-68.12
472071536.0,-82.57
472079996.3,-74.26
472088456.5,-73.25
472096916.7,-74.25
472105377.0,-70.99
472113837.2,-69.97
472122297.4,-67.76
472130757.7,-66.71
472139217.9,-68.57
472147678.2,-87.11
472156138.4,-69.90
472164598.6,-72.60
472173058.9,-72.57
472181519.1,-72.00
472189979.3,-71.00
472198439.6,-69.76
472206899.8,-69.66
472215360.1,-76.25
472223820.3,-64.21
472232280.5,-63.49
472240740.8,-65.59
472249201.0,-69.49
472257661.2,-70.50
472266121.5,-69.13
472274581.7,-69.29
472283041.9,-85.62
472291502.2,-65.28
472299962.4,-62.68
472308422.7,-62.32
472316882.9,-61.64
472325343.1,-61.41
472333803.4,-64.80
472342263.6,-68.13
472350723.8,-80.13
472359184.1,-64.77
472367644.3,-63.70
472376104.6,-61.30
472384564.8,-58.04
472393025.0,-58.05
472401485.3,-55.63
472409945.5,-83.12
472418405.7,-62.87
472426866.0,-63.21
472435326.2,-61.71
472443786.4,-58.68
472452246.7,-55.75
472460706.9,-55.52
472469167.2,-51.01
472477627.4,-48.36
472486087.6,-55.06
472494547.9,-69.71
472503008.1,-50.03
472511468.3,-53.50
472519928.6,-53.09
472528388.8,-52.25
472536849.1,-50.36
472545309.3,-48.59
472553769.5,-61.56
472562229.8,-63.21
472570690.0,-63.21
