Frequency (Hz),Amplitude (dBm)
472333803.4,-86.59
472342263.6,-88.24
472350723.8,-86.17
472359184.1,-76.62
472367644.3,-76.63
472376104.6,-83.31
472384564.8,-75.31
472393025.0,-77.15
472401485.3,-75.11
472409945.5,-74.09
472418405.7,-76.36
472426866.0,-89.62
472435326.2,-87.84
472443786.4,-95.71
472452246.7,-88.87
472460706.9,-98.68
472469167.2,-91.08
472477627.4,-91.77
472486087.6,-91.81
472494547.9,-93.08
472503008.1,-93.58
472511468.3,-93.64
472519928.6,-95.14
472528388.8,-93.74
472536849.1,-91.55
472545309.3,-90.57
472553769.5,-90.67
472562229.8,-77.02
472570690.0,-77.02
